,index,bidSize_1,bidPrice_1,askPrice_1,askSize_1,bidSize_2,bidPrice_2,askPrice_2,askSize_2,bidSize_3,bidPrice_3,askPrice_3,askSize_3,bidSize_4,bidPrice_4,askPrice_4,askSize_4,bidSize_5,bidPrice_5,askPrice_5,askSize_5,lastPrice,difference,direction,same,up_trend,down_trend
1,2020-12-28 23:06:53.528062+00:00,26,3730.5,3730.75,6,33,3730.25,3731.0,44,41,3730.0,3731.25,23,25,3729.75,3731.5,58,35,3729.5,3731.75,82,3730.5,0.0,0,1,0,0
2,2020-12-28 23:07:08.815131+00:00,1,3730.75,3731.0,43,27,3730.5,3731.25,23,35,3730.25,3731.5,58,41,3730.0,3731.75,82,25,3729.75,3732.0,68,3730.75,-0.25,-1,0,0,1
3,2020-12-28 23:07:09.812131+00:00,7,3730.75,3731.0,43,25,3730.5,3731.25,20,38,3730.25,3731.5,58,39,3730.0,3731.75,82,25,3729.75,3732.0,68,3730.75,0.0,0,1,0,0
4,2020-12-28 23:07:20.604379+00:00,22,3730.75,3731.0,42,22,3730.5,3731.25,19,39,3730.25,3731.5,55,39,3730.0,3731.75,82,26,3729.75,3732.0,68,3730.75,0.0,0,1,0,0
5,2020-12-28 23:07:32.154443+00:00,28,3730.75,3731.0,23,10,3730.5,3731.25,20,39,3730.25,3731.5,55,37,3730.0,3731.75,82,26,3729.75,3732.0,69,3731.0,-0.25,-1,0,0,1
6,2020-12-28 23:07:37.261563+00:00,26,3730.75,3731.0,21,10,3730.5,3731.25,21,34,3730.25,3731.5,55,37,3730.0,3731.75,82,26,3729.75,3732.0,69,3730.75,0.25,1,0,1,0
7,2020-12-28 23:07:37.994076+00:00,25,3730.75,3731.0,21,10,3730.5,3731.25,21,34,3730.25,3731.5,55,37,3730.0,3731.75,82,26,3729.75,3732.0,69,3731.0,-0.25,-1,0,0,1
8,2020-12-28 23:07:40.098592+00:00,15,3730.75,3731.0,6,11,3730.5,3731.25,22,21,3730.25,3731.5,54,39,3730.0,3731.75,79,27,3729.75,3732.0,71,3731.0,0.0,0,1,0,0
9,2020-12-28 23:07:41.868134+00:00,10,3730.5,3730.75,2,21,3730.25,3731.0,11,39,3730.0,3731.25,24,27,3729.75,3731.5,54,37,3729.5,3731.75,79,3730.75,0.25,1,0,1,0
10,2020-12-28 23:07:49.885255+00:00,4,3730.75,3731.0,15,16,3730.5,3731.25,24,21,3730.25,3731.5,54,36,3730.0,3731.75,82,27,3729.75,3732.0,70,3730.75,0.0,0,1,0,0
